Time (t) , Room temperature(T(t))
0.00, 21.0000
0.10, 20.9885
0.20, 20.9769
0.30, 20.9654
0.40, 20.9539
0.50, 20.9424
0.60, 20.9309
0.70, 20.9194
0.80, 20.9079
0.90, 20.8965
1.00, 20.8850
1.10, 20.8736
1.20, 20.8622
1.30, 20.8508
1.40, 20.8394
1.50, 20.8280
1.60, 20.8166
1.70, 20.8053
1.80, 20.7939
1.90, 20.7826
2.00, 20.7713
2.10, 20.7600
2.20, 20.7487
2.30, 20.7374
2.40, 20.7261
2.50, 20.7149
2.60, 20.7036
2.70, 20.6924
2.80, 20.6811
2.90, 20.6699
3.00, 20.6587
3.10, 20.6475
3.20, 20.6364
3.30, 20.6252
3.40, 20.6140
3.50, 20.6029
3.60, 20.5918
3.70, 20.5806
3.80, 20.5695
3.90, 20.5584
4.00, 20.5473
4.10, 20.5363
4.20, 20.5252
4.30, 20.5141
4.40, 20.5031
4.50, 20.4921
4.60, 20.4811
4.70, 20.4701
4.80, 20.4591
4.90, 20.4481
5.00, 20.4371
5.10, 20.4262
5.20, 20.4152
5.30, 20.4043
5.40, 20.3933
5.50, 20.3824
5.60, 20.3715
5.70, 20.3606
5.80, 20.3498
5.90, 20.3389
6.00, 20.3280
6.10, 20.3172
6.20, 20.3064
6.30, 20.2955
6.40, 20.2847
6.50, 20.2739
6.60, 20.2631
6.70, 20.2524
6.80, 20.2416
6.90, 20.2308
7.00, 20.2201
7.10, 20.2094
7.20, 20.1987
7.30, 20.1879
7.40, 20.1772
7.50, 20.1666
7.60, 20.1559
7.70, 20.1452
7.80, 20.1346
7.90, 20.1239
8.00, 20.1133
8.10, 20.1027
8.20, 20.0921
8.30, 20.0815
8.40, 20.0709
8.50, 20.0603
8.60, 20.0498
8.70, 20.0392
8.80, 20.0287
8.90, 20.0181
9.00, 20.0076
9.10, 19.9971
9.20, 19.9866
9.30, 19.9761
9.40, 19.9656
9.50, 19.9552
9.60, 19.9447
9.70, 19.9343
9.80, 19.9239
9.90, 19.9134
10.00, 19.9030
10.10, 19.8926
10.20, 19.8822
10.30, 19.8719
10.40, 19.8615
10.50, 19.8511
10.60, 19.8408
10.70, 19.8305
10.80, 19.8201
10.90, 19.8098
11.00, 19.7995
11.10, 19.7892
11.20, 19.7790
11.30, 19.7687
11.40, 19.7584
11.50, 19.7482
11.60, 19.7380
11.70, 19.7277
11.80, 19.7175
11.90, 19.7073
12.00, 19.6971
12.10, 19.6869
12.20, 19.6768
12.30, 19.6666
12.40, 19.6565
12.50, 19.6463
12.60, 19.6362
12.70, 19.6261
12.80, 19.6160
12.90, 19.6059
13.00, 19.5958
13.10, 19.5857
13.20, 19.5756
13.30, 19.5656
13.40, 19.5555
13.50, 19.5455
13.60, 19.5355
13.70, 19.5255
13.80, 19.5155
13.90, 19.5055
14.00, 19.4955
14.10, 19.4855
14.20, 19.4756
14.30, 19.4656
14.40, 19.4557
14.50, 19.4458
14.60, 19.4358
14.70, 19.4259
14.80, 19.4160
14.90, 19.4061
15.00, 19.3963
15.10, 19.3864
15.20, 19.3765
15.30, 19.3667
15.40, 19.3569
15.50, 19.3470
15.60, 19.3372
15.70, 19.3274
15.80, 19.3176
15.90, 19.3078
16.00, 19.2981
16.10, 19.2883
16.20, 19.2786
16.30, 19.2688
16.40, 19.2591
16.50, 19.2494
16.60, 19.2396
16.70, 19.2299
16.80, 19.2203
16.90, 19.2106
17.00, 19.2009
17.10, 19.1912
17.20, 19.1816
17.30, 19.1719
17.40, 19.1623
17.50, 19.1527
17.60, 19.1431
17.70, 19.1335
17.80, 19.1239
17.90, 19.1143
18.00, 19.1047
18.10, 19.0952
18.20, 19.0856
18.30, 19.0761
18.40, 19.0666
18.50, 19.0570
18.60, 19.0475
18.70, 19.0380
18.80, 19.0285
18.90, 19.0191
19.00, 19.0096
19.10, 19.0001
19.20, 18.9907
19.30, 18.9812
19.40, 18.9718
19.50, 18.9624
19.60, 18.9530
19.70, 18.9436
19.80, 18.9342
19.90, 18.9248
20.00, 18.9154
20.10, 18.9061
20.20, 18.8967
20.30, 18.8874
20.40, 18.8781
20.50, 18.8687
20.60, 18.8594
20.70, 18.8501
20.80, 18.8408
20.90, 18.8315
21.00, 18.8223
21.10, 18.8130
21.20, 18.8038
21.30, 18.7945
21.40, 18.7853
21.50, 18.7761
21.60, 18.7668
21.70, 18.7576
21.80, 18.7484
21.90, 18.7393
22.00, 18.7301
22.10, 18.7209
22.20, 18.7118
22.30, 18.7026
22.40, 18.6935
22.50, 18.6843
22.60, 18.6752
22.70, 18.6661
22.80, 18.6570
22.90, 18.6479
23.00, 18.6388
23.10, 18.6298
23.20, 18.6207
23.30, 18.6117
23.40, 18.6026
23.50, 18.5936
23.60, 18.5846
23.70, 18.5755
23.80, 18.5665
23.90, 18.5575
24.00, 18.5486
24.10, 18.5396
24.20, 18.5306
24.30, 18.5217
24.40, 18.5127
24.50, 18.5038
24.60, 18.4948
24.70, 18.4859
24.80, 18.4770
24.90, 18.4681
25.00, 18.4592
25.10, 18.4503
25.20, 18.4415
25.30, 18.4326
25.40, 18.4238
25.50, 18.4149
25.60, 18.4061
25.70, 18.3972
25.80, 18.3884
25.90, 18.3796
26.00, 18.3708
26.10, 18.3620
26.20, 18.3533
26.30, 18.3445
26.40, 18.3357
26.50, 18.3270
26.60, 18.3182
26.70, 18.3095
26.80, 18.3008
26.90, 18.2920
27.00, 18.2833
